; --- Settings ---
; Action on detect:	Ask after scan
; Scan objects:	All objects
; Use iChecker:	Yes
; Use iSwift:	Yes
; Try disinfect:	Yes
; Try delete:	Yes
; Try delete container:	No
; Exclude by mask:	No
; Include by mask:	No
; Objects to scan:	
; 	"J:\GHO\"	Enable = Yes	Recursive = Yes
; 	"J:\HSL.xlsx"	Enable = Yes	Recursive = No
; 	"J:\Prj_Name.xlsx"	Enable = Yes	Recursive = No
; 	"J:\SamsungDwn\"	Enable = Yes	Recursive = Yes
; 	"J:\Software\"	Enable = Yes	Recursive = Yes
; 	"J:\System Volume Information\"	Enable = Yes	Recursive = Yes
; 	"J:\Tool\"	Enable = Yes	Recursive = Yes
; 	"J:\UHD Content\"	Enable = Yes	Recursive = Yes
; 	"J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar"	Enable = Yes	Recursive = No
; 	"J:\diskgeniuslsdwjzyb3264w.zip"	Enable = Yes	Recursive = No
; ------------------
2019-05-09 17:16:30	Scan_Objects$5124         starting   1%         
2019-05-09 17:16:30	Scan_Objects$5124         running    1%         
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\3Com.7z//3Com/3C154G72.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\3Com.7z//3Com/MRV8335XP.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\3Com.7z//3Com/net5213.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\3Com.7z//3Com/net5213xp.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\3Com.7z//3Com/PRISMNDS.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\3Com.7z//3Com/3CRDW696/PRISMNDS.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\3Com.7z//3Com/wlc175f.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\3Com.7z//3Com/wld675f.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\3Com.7z//3Com/wlp92bf.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\3Com.7z//3Com/wlpx96f.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\3Com.7z//3Com/wlux96f.sys	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/USB/A/AR5523.BIN	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/TIACXGEN.BIN	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/TIACXMX.BIN	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/TIACXRFM.BIN	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/TIACXRMX.BIN	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/TIACXSN.BIN	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/USB/5005xx/readme.txt	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/readme.txt	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/readme.txt	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/arusb_xp.cat	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/USB/5005xx/athrusbext.cat	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/USB/AR7010/athurext.cat	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/Roam/cb500ag.cat	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/otr/N3AB.cat	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/A_Public/net5211.cat	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/HP/net5211.cat	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/Dual/NET5211.CAT	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/Dual/b/net5211.cat	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/USB/A/NET5523.CAT	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/Dell/netathw.cat	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/HP/netathw.cat	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/A_Public/netathw.cat	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/TIACXLN.CAT	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/otr/WLARNDS.cat	password protected
